Date,StockPrice
01-01-1970,27.85380952
02-01-1970,22.38105263
03-01-1970,23.1052381
04-01-1970,21.57136364
05-01-1970,18.93285714
06-01-1970,15.44318182
07-01-1970,13.65590909
08-01-1970,13.3352381
09-01-1970,17.38952381
10-01-1970,15.90954545
11-01-1970,13.9705
12-01-1970,14.35454545
01-01-1971,17.3425
02-01-1971,21.85894737
03-01-1971,22.06347826
04-01-1971,22.31904762
05-01-1971,23.5165
06-01-1971,21.23045455
07-01-1971,18.21714286
08-01-1971,16.165
09-01-1971,15.51904762
10-01-1971,16.26190476
11-01-1971,14.8
12-01-1971,18.00363636
01-01-1972,23.1347619
02-01-1972,25.2665
03-01-1972,23.28227273
04-01-1972,23.7355
05-01-1972,21.64454545
06-01-1972,21.475
07-01-1972,22.116
08-01-1972,22.52391304
09-01-1972,22.4165
10-01-1972,22.1
11-01-1972,23.285
12-01-1972,25.42473684
01-01-1973,24.80761905
02-01-1973,22.70210526
03-01-1973,21.43545455
04-01-1973,19.4285
05-01-1973,19.03136364
06-01-1973,17.3552381
07-01-1973,18.49142857
08-01-1973,18.05130435
09-01-1973,18.26789474
10-01-1973,19.20956522
11-01-1973,17.14904762
12-01-1973,13.091
01-01-1974,12.73636364
02-01-1974,13.73368421
03-01-1974,14.81714286
04-01-1974,14.55571429
05-01-1974,16.46
06-01-1974,17.724
07-01-1974,16.69227273
08-01-1974,18.44727273
09-01-1974,17.3975
10-01-1974,16.69304348
11-01-1974,18.5965
12-01-1974,16.35666667
01-01-1975,16.35
02-01-1975,17.26052632
03-01-1975,20.561
04-01-1975,22.25363636
05-01-1975,27.89095238
06-01-1975,30.00333333
07-01-1975,29.26545455
08-01-1975,25.76
09-01-1975,26.3252381
10-01-1975,28.14956522
11-01-1975,24.93263158
12-01-1975,23.725
01-01-1976,27.1752381
02-01-1976,26.94526316
03-01-1976,26.53608696
04-01-1976,27.68238095
05-01-1976,34.013
06-01-1976,36.58863636
07-01-1976,40.02
08-01-1976,41.46818182
09-01-1976,42.94904762
10-01-1976,42.35904762
11-01-1976,42.5145
12-01-1976,44.47409091
01-01-1977,41.46
02-01-1977,40.59473684
03-01-1977,43.73086957
04-01-1977,44.6385
05-01-1977,51.77619048
06-01-1977,56.08318182
07-01-1977,57.31789474
08-01-1977,57.6
09-01-1977,36.23714286
10-01-1977,25.34904762
11-01-1977,27.33666667
12-01-1977,28.03333333
01-01-1978,26.15142857
02-01-1978,29.32578947
03-01-1978,33.67727273
04-01-1978,36.8895
05-01-1978,47.27409091
06-01-1978,51.46818182
07-01-1978,57.5275
08-01-1978,70.1873913
09-01-1978,68.3295
10-01-1978,63.11954545
11-01-1978,62.65619048
12-01-1978,71.56
01-01-1979,76.09909091
02-01-1979,69.95157895
03-01-1979,65.81636364
04-01-1979,53.025
05-01-1979,39.85954545
06-01-1979,41.77047619
07-01-1979,41.00761905
08-01-1979,46.21391304
09-01-1979,48.21263158
10-01-1979,45.01826087
11-01-1979,44.06761905
12-01-1979,48.784
01-01-1980,60.26818182
02-01-1980,63.694
03-01-1980,57.2347619
04-01-1980,44.60285714
05-01-1980,33.94238095
06-01-1980,35.60952381
07-01-1980,38.15545455
08-01-1980,38.10428571
09-01-1980,39.28761905
10-01-1980,37.92565217
11-01-1980,38.54333333
12-01-1980,39.16181818
01-01-1981,41.47952381
02-01-1981,36.19947368
03-01-1981,34.92727273
04-01-1981,34.68095238
05-01-1981,32.5695
06-01-1981,31.22045455
07-01-1981,29.15090909
08-01-1981,26.53285714
09-01-1981,24.33142857
10-01-1981,25.45181818
11-01-1981,23.904
12-01-1981,23.11681818
01-01-1982,21.5215
02-01-1982,19.84631579
03-01-1982,18.38304348
04-01-1982,18.86666667
05-01-1982,19.0785
06-01-1982,16.02363636
07-01-1982,16.5947619
08-01-1982,18.935
09-01-1982,23.16952381
10-01-1982,24.11666667
11-01-1982,29.00952381
12-01-1982,33.20045455
01-01-1983,35.06238095
02-01-1983,36.51473684
03-01-1983,38.01913043
04-01-1983,40.578
05-01-1983,37.91904762
06-01-1983,44.95727273
07-01-1983,45.0155
08-01-1983,39.48043478
09-01-1983,41.10333333
10-01-1983,39.57380952
11-01-1983,41.28238095
12-01-1983,45.40809524
01-01-1984,47.03190476
02-01-1984,42.777
03-01-1984,39.47363636
04-01-1984,37.915
05-01-1984,38.395
06-01-1984,42.04333333
07-01-1984,44.60333333
08-01-1984,51.74173913
09-01-1984,54.39736842
10-01-1984,54.91565217
11-01-1984,56.62095238
12-01-1984,54.5585
01-01-1985,58.16181818
02-01-1985,63.94157895
03-01-1985,63.26952381
04-01-1985,61.32952381
05-01-1985,61.62181818
06-01-1985,50.0445
07-01-1985,47.21863636
08-01-1985,48.42818182
09-01-1985,46.94368421
10-01-1985,45.26347826
11-01-1985,47.258
12-01-1985,50.63333333
01-01-1986,49.20090909
02-01-1986,49.46368421
03-01-1986,54.484
04-01-1986,56.85545455
05-01-1986,56.49095238
06-01-1986,60.91238095
07-01-1986,60.98409091
08-01-1986,59.93857143
09-01-1986,56.77666667
10-01-1986,53.88347826
11-01-1986,51.04210526
12-01-1986,52.31454545
01-01-1987,51.39571429
02-01-1987,51.29894737
03-01-1987,52.44
04-01-1987,49.82857143
05-01-1987,44.6015
06-01-1987,46.88954545
07-01-1987,48.42909091
08-01-1987,52.23428571
09-01-1987,50.71666667
10-01-1987,44.69045455
11-01-1987,36.302
12-01-1987,36.68454545
01-01-1988,42.0635
02-01-1988,46.8955
03-01-1988,47.48608696
04-01-1988,46.4525
05-01-1988,50.15714286
06-01-1988,56.03045455
07-01-1988,58.6395
08-01-1988,59.79652174
09-01-1988,60.95380952
10-01-1988,65.33238095
11-01-1988,62.69904762
12-01-1988,61.37809524
01-01-1989,60.76380952
02-01-1989,62.75263158
03-01-1989,65.81090909
04-01-1989,71.129
05-01-1989,78.65636364
06-01-1989,59.43863636
07-01-1989,50.71
08-01-1989,52.92565217
09-01-1989,56.64
10-01-1989,58.00727273
11-01-1989,56.87095238
12-01-1989,59.0205
01-01-1990,60.22409091
02-01-1990,61.94263158
03-01-1990,68.71409091
04-01-1990,71.6165
05-01-1990,76.98636364
06-01-1990,66.10857143
07-01-1990,59.34238095
08-01-1990,50.42565217
09-01-1990,45.10842105
10-01-1990,45.22434783
11-01-1990,44.91952381
12-01-1990,45.4775
01-01-1991,46.20181818
02-01-1991,49.08157895
03-01-1991,48.4025
04-01-1991,47.26409091
05-01-1991,46.63272727
06-01-1991,47.752
07-01-1991,44.87727273
08-01-1991,47.13863636
09-01-1991,50.253
10-01-1991,49.25826087
11-01-1991,47.1345
12-01-1991,43.75809524
01-01-1992,50.38909091
02-01-1992,47.72736842
03-01-1992,45.12136364
04-01-1992,45.21666667
05-01-1992,43.7715
06-01-1992,42.88363636
07-01-1992,40.03636364
08-01-1992,39.19952381
09-01-1992,36.34666667
10-01-1992,36.64454545
11-01-1992,35.302
12-01-1992,35.98
01-01-1993,37.6455
02-01-1993,34.79894737
03-01-1993,34.77478261
04-01-1993,36.69857143
05-01-1993,39.4705
06-01-1993,38.81409091
07-01-1993,37.61
08-01-1993,38.88909091
09-01-1993,39.66380952
10-01-1993,37.83619048
11-01-1993,37.71571429
12-01-1993,41.62863636
01-01-1994,43.47333333
02-01-1994,44.84368421
03-01-1994,46.52956522
04-01-1994,44.93631579
05-01-1994,44.59047619
06-01-1994,47.96
07-01-1994,46.5185
08-01-1994,45.03
09-01-1994,44.88952381
10-01-1994,43.78809524
11-01-1994,44.25952381
12-01-1994,47.11666667
01-01-1995,47.43761905
02-01-1995,46.58052632
03-01-1995,48.43782609
04-01-1995,54.56210526
05-01-1995,55.76318182
06-01-1995,62.89363636
07-01-1995,64.443
08-01-1995,64.77086957
09-01-1995,68.91
10-01-1995,66.25363636
11-01-1995,71.59333333
12-01-1995,75.201
01-01-1996,77.935
02-01-1996,81.16
03-01-1996,83.90238095
04-01-1996,82.21333333
05-01-1996,81.41227273
06-01-1996,85.847
07-01-1996,87.98
08-01-1996,90.99772727
09-01-1996,92.01
10-01-1996,96.80217391
11-01-1996,94.5095
12-01-1996,99.98047619
01-01-1997,107.0654545
02-01-1997,107.28
03-01-1997,104.6165
04-01-1997,99.55363636
05-01-1997,100.1047619
06-01-1997,67.99142857
07-01-1997,56.825
08-01-1997,57.12619048
09-01-1997,54.09952381
10-01-1997,51.65043478
11-01-1997,48.34
12-01-1997,50.31363636
01-01-1998,45.927
02-01-1998,49.52789474
03-01-1998,52.12909091
04-01-1998,52.98904762
