Date,StockPrice
01-01-1970,74.25333333
02-01-1970,69.97684211
03-01-1970,72.15857143
04-01-1970,74.25272727
05-01-1970,66.6652381
06-01-1970,67.59318182
07-01-1970,72.69636364
08-01-1970,76.14666667
09-01-1970,80.46285714
10-01-1970,84.69181818
11-01-1970,86.3295
12-01-1970,89.95818182
01-01-1971,96.691
02-01-1971,104.15
03-01-1971,109.9430435
04-01-1971,118.4804762
05-01-1971,120.598
06-01-1971,73.68272727
07-01-1971,57.96666667
08-01-1971,58.15545455
09-01-1971,62.64380952
10-01-1971,61.22761905
11-01-1971,57.15095238
12-01-1971,62.53
01-01-1972,63.19809524
02-01-1972,60.5085
03-01-1972,63.35227273
04-01-1972,68.0165
05-01-1972,67.69136364
06-01-1972,67.12863636
07-01-1972,64.687
08-01-1972,66.57956522
09-01-1972,65.593
10-01-1972,63.98318182
11-01-1972,66.254
12-01-1972,69.20210526
01-01-1973,71.97428571
02-01-1973,68.66842105
03-01-1973,66.20863636
04-01-1973,62.8195
05-01-1973,59.30863636
06-01-1973,58.49095238
07-01-1973,59.88238095
08-01-1973,60.12217391
09-01-1973,60.30315789
10-01-1973,65.94913043
11-01-1973,64.06
12-01-1973,60.2575
01-01-1974,62.39454545
02-01-1974,56.75315789
03-01-1974,54.96571429
04-01-1974,54.0252381
05-01-1974,49.76409091
06-01-1974,49.121
07-01-1974,47.05909091
08-01-1974,41.43454545
09-01-1974,34.6455
10-01-1974,35.63782609
11-01-1974,36.8895
12-01-1974,33.43761905
01-01-1975,35.32136364
02-01-1975,41.46947368
03-01-1975,46.196
04-01-1975,45.93954545
05-01-1975,46.53857143
06-01-1975,47.49666667
07-01-1975,50.14454545
08-01-1975,44.57380952
09-01-1975,44.2752381
10-01-1975,47.17608696
11-01-1975,48.33210526
12-01-1975,46.38772727
01-01-1976,51.77619048
02-01-1976,53.45684211
03-01-1976,52.16565217
04-01-1976,53.13333333
05-01-1976,51.614
06-01-1976,54.45636364
07-01-1976,56.99047619
08-01-1976,54.83227273
09-01-1976,54.71
10-01-1976,51.94809524
11-01-1976,51.5335
12-01-1976,52.62772727
01-01-1977,53.60238095
02-01-1977,51.13368421
03-01-1977,50.79086957
04-01-1977,51.5645
05-01-1977,54.61571429
06-01-1977,55.87772727
07-01-1977,55.35842105
08-01-1977,54.17043478
09-01-1977,53.02619048
10-01-1977,50.46714286
11-01-1977,51.03857143
12-01-1977,49.00238095
01-01-1978,46.68761905
02-01-1978,46.11368421
03-01-1978,46.25772727
04-01-1978,48.7965
05-01-1978,52.42318182
06-01-1978,51.86045455
07-01-1978,52.133
08-01-1978,55.61130435
09-01-1978,53.384
10-01-1978,51.33681818
11-01-1978,48.69761905
12-01-1978,47.696
01-01-1979,49.17318182
02-01-1979,46.96842105
03-01-1979,47.48545455
04-01-1979,48.2515
05-01-1979,49.41772727
06-01-1979,49.54380952
07-01-1979,50.47238095
08-01-1979,53.28565217
09-01-1979,51.47631579
10-01-1979,48.87217391
11-01-1979,47.02047619
12-01-1979,48.3595
01-01-1980,53.47454545
02-01-1980,53.1705
03-01-1980,47.6152381
04-01-1980,46.87714286
05-01-1980,47.52666667
06-01-1980,50.2752381
07-01-1980,54.05318182
08-01-1980,56.3047619
09-01-1980,54.06238095
10-01-1980,53.42695652
11-01-1980,58.21777778
12-01-1980,59.01318182
01-01-1981,61.80571429
02-01-1981,62.83
03-01-1981,66.56
04-01-1981,66.83142857
05-01-1981,64.6425
06-01-1981,65.35090909
07-01-1981,61.15
08-01-1981,58.49619048
09-01-1981,54.23380952
10-01-1981,55.40090909
11-01-1981,56.659
12-01-1981,58.79772727
01-01-1982,58.102
02-01-1982,61.54263158
03-01-1982,61.1226087
04-01-1982,64.35571429
05-01-1982,63.35
06-01-1982,61.70681818
07-01-1982,66.61142857
08-01-1982,67.89045455
09-01-1982,76.09857143
10-01-1982,82.14666667
11-01-1982,89.7052381
12-01-1982,95.03772727
01-01-1983,95.75428571
02-01-1983,103.3784211
03-01-1983,104.9113043
04-01-1983,108.1545
05-01-1983,108.1352381
06-01-1983,57.58227273
07-01-1983,52.961
08-01-1983,48.52956522
09-01-1983,51.16809524
10-01-1983,53.44142857
11-01-1983,54.54380952
12-01-1983,57.37047619
01-01-1984,56.76428571
02-01-1984,53.302
03-01-1984,52.13318182
04-01-1984,53.9155
05-01-1984,53.985
06-01-1984,53.14571429
07-01-1984,50.69333333
08-01-1984,57.04043478
09-01-1984,56.64684211
10-01-1984,55.95304348
11-01-1984,57.24047619
12-01-1984,55.5525
01-01-1985,60.04727273
02-01-1985,63.34368421
03-01-1985,62.04952381
04-01-1985,59.68714286
05-01-1985,59.79818182
06-01-1985,60.915
07-01-1985,62.29772727
08-01-1985,61.72363636
09-01-1985,59.48947368
10-01-1985,58.71434783
11-01-1985,63.269
12-01-1985,68.93142857
01-01-1986,69.95181818
02-01-1986,74.54421053
03-01-1986,76.8415
04-01-1986,77.62772727
05-01-1986,77.69428571
06-01-1986,80.92
07-01-1986,76.19727273
08-01-1986,75.30714286
09-01-1986,74.3247619
10-01-1986,74.76913043
11-01-1986,78.3
12-01-1986,86.40636364
01-01-1987,94.15761905
02-01-1987,100.8394737
03-01-1987,106.6445455
04-01-1987,105.2952381
05-01-1987,93.2605
06-01-1987,54.08181818
07-01-1987,56.13954545
08-01-1987,62.63714286
09-01-1987,60.8952381
10-01-1987,53.08136364
11-01-1987,44.996
12-01-1987,43.82636364
01-01-1988,44.8775
02-01-1988,43.4155
03-01-1988,43.25304348
04-01-1988,40.7965
05-01-1988,39.91904762
06-01-1988,43.16090909
07-01-1988,42.8835
08-01-1988,40.61086957
09-01-1988,42.29428571
10-01-1988,43.77047619
11-01-1988,44.03190476
12-01-1988,45.22285714
01-01-1989,45.40666667
02-01-1989,46.83842105
03-01-1989,45.03681818
04-01-1989,46.4775
05-01-1989,51.03
06-01-1989,54.05272727
07-01-1989,54.7525
08-01-1989,57.61086957
09-01-1989,56.646
10-01-1989,56.67363636
11-01-1989,57.03238095
12-01-1989,63.421
01-01-1990,63.915
02-01-1990,61.75842105
03-01-1990,63.21772727
04-01-1990,65.0055
05-01-1990,67.28818182
06-01-1990,69.56428571
07-01-1990,72.46761905
08-01-1990,65.16826087
09-01-1990,58.23315789
10-01-1990,53.23043478
11-01-1990,53.57809524
12-01-1990,56.614
01-01-1991,56.80409091
02-01-1991,67.17578947
03-01-1991,68.055
04-01-1991,72.42909091
05-01-1991,72.50863636
06-01-1991,74.88
07-01-1991,73.67318182
08-01-1991,73.13863636
09-01-1991,70.304
